time,ppg
2.475,32254
2.48,32292
2.485,32383
2.49,32309
2.495,32338
2.5,32286
2.505,32205
2.51,32210
2.515,32329
2.52,32299
2.525,32245
2.53,32332
2.535,32236
2.54,32331
2.545,32342
2.55,32262
2.555,32250
2.56,32320
2.565,32249
2.57,32320
2.575,32245
2.58,32317
2.585,32291
2.59,32272
2.595,32255
2.6,32296
2.605,32219
2.61,32277
2.615,32273
2.62,32312
2.625,32243
2.63,32351
2.635,32279
2.64,32251
2.645,32344
2.65,32357
2.655,32295
2.66,32275
2.665,32315
2.67,32299
2.675,32324
2.68,32407
2.685,32383
2.69,32397
2.695,32432
2.7,32451
2.705,32490
2.71,32538
2.715,32547
2.72,32625
2.725,32777
2.73,32782
2.735,32844
2.74,33016
2.745,33040
2.75,33102
2.755,33272
2.76,33323
2.765,33445
2.77,33580
2.775,33665
2.78,33736
2.785,33829
2.79,33901
2.795,34025
2.8,34003
2.805,34038
2.81,34145
2.815,34368
2.82,34417
2.825,34370
2.83,34263
2.835,34149
2.84,34139
2.845,34060
2.85,33979
2.855,33851
2.86,33796
2.865,33708
2.87,33529
2.875,33534
2.88,33412
2.885,33317
2.89,33268
2.895,33299
2.9,33231
2.905,33106
2.91,33159
2.915,33148
2.92,33153
2.925,33157
2.93,33147
2.935,33263
2.94,33236
2.945,33300
2.95,33339
2.955,33386
2.96,33491
2.965,33532
2.97,33547
2.975,33589
2.98,33656
2.985,33754
2.99,33766
2.995,33807
3.0,33818
3.005,33846
3.01,33882
3.015,33819
3.02,33948
3.025,33858
3.03,33855
3.035,33905
3.04,33839
3.045,33800
3.05,33739
3.055,33660
3.06,33673
3.065,33655
3.07,33522
3.075,33543
3.08,33390
3.085,33340
3.09,33319
3.095,33236
3.1,33196
3.105,33081
3.11,33009
3.115,32920
3.12,32887
3.125,32837
3.13,32774
3.135,32789
3.14,32710
3.145,32621
3.15,32745
3.155,32591
3.16,32546
3.165,32608
3.17,32580
3.175,32475
3.18,32444
3.185,32444
3.19,32505
3.195,32440
3.2,32411
3.205,32429
3.21,32465
3.215,32365
3.22,32395
3.225,32353
3.23,32477
3.235,32460
3.24,32425
3.245,32383
3.25,32409
3.255,32308
3.26,32391
3.265,32332
3.27,32331
3.275,32352
3.28,32363
3.285,32395
3.29,32399
3.295,32382
3.3,32338
3.305,32395
3.31,32365
3.315,32412
3.32,32335
3.325,32268
3.33,32350
3.335,32444
3.34,32382
3.345,32358
3.35,32396
3.355,32382
3.36,32379
3.365,32344
3.37,32364
3.375,32368
3.38,32337
3.385,32320
3.39,32364
3.395,32394
3.4,32382
3.405,32376
3.41,32376
3.415,32451
3.42,32367
3.425,32395
3.43,32428
3.435,32360
3.44,32368
3.445,32397
3.45,32422
3.455,32375
3.46,32381
3.465,32376
3.47,32335
3.475,32427
3.48,32388
3.485,32349
3.49,32423
3.495,32386
3.5,32438
3.505,32505
3.51,32508
3.515,32622
3.52,32581
3.525,32700
3.53,32776
3.535,32881
3.54,32942
3.545,33005
3.55,33094
3.555,33189
3.56,33336
3.565,33378
3.57,33528
3.575,33612
3.58,33726
3.585,33805
3.59,33948
3.595,33926
3.6,34025
3.605,34078
3.61,34126
3.615,34141
3.62,34465
3.625,34467
3.63,34344
3.635,34349
3.64,34242
3.645,34221
3.65,34087
3.655,34005
3.66,33943
3.665,33899
3.67,33774
3.675,33671
3.68,33624
3.685,33459
3.69,33345
3.695,33343
3.7,33296
3.705,33309
3.71,33312
3.715,33168
3.72,33297
3.725,33267
3.73,33253
3.735,33256
3.74,33359
3.745,33310
3.75,33332
3.755,33400
3.76,33395
3.765,33513
3.77,33546
3.775,33615
3.78,33668
3.785,33668
3.79,33801
3.795,33761
3.8,33869
3.805,33814
3.81,33913
3.815,33891
3.82,33937
3.825,33919
3.83,33863
3.835,33894
3.84,33921
3.845,33918
3.85,33813
3.855,33754
3.86,33757
3.865,33733
3.87,33666
3.875,33603
3.88,33603
3.885,33545
3.89,33473
3.895,33348
3.9,33319
3.905,33244
3.91,33136
3.915,33156
3.92,33067
3.925,32988
3.93,33002
3.935,32926
3.94,32880
3.945,32847
3.95,32787
3.955,32677
3.96,32673
3.965,32691
3.97,32598
3.975,32601
3.98,32591
3.985,32608
3.99,32584
3.995,32554
4.0,32501
4.005,32528
4.01,32504
4.015,32470
4.02,32517
4.025,32479
4.03,32428
4.035,32496
4.04,32437
4.045,32464
4.05,32384
4.055,32436
4.06,32400
4.065,32397
4.07,32361
4.075,32505
4.08,32421
4.085,32434
4.09,32464
4.095,32418
4.1,32440
4.105,32372
4.11,32427
4.115,32404
4.12,32436
4.125,32423
4.13,32366
4.135,32349
4.14,32378
4.145,32440
4.15,32428
4.155,32427
4.16,32339
4.165,32314
4.17,32388
4.175,32397
4.18,32387
4.185,32421
4.19,32401
4.195,32364
4.2,32374
4.205,32411
4.21,32408
4.215,32402
4.22,32486
4.225,32394
4.23,32408
4.235,32367
4.24,32390
4.245,32422
4.25,32424
4.255,32398
4.26,32419
4.265,32409
4.27,32342
4.275,32295
4.28,32501
4.285,32454
4.29,32430
4.295,32380
4.3,32410
4.305,32521
4.31,32393
4.315,32507
4.32,32580
4.325,32590
4.33,32655
4.335,32673
4.34,32821
4.345,32763
4.35,32824
4.355,32963
4.36,33092
4.365,33133
4.37,33272
4.375,33319
4.38,33402
4.385,33603
4.39,33715
4.395,33816
4.4,33810
4.405,33873
4.41,33951
4.415,34051
4.42,34132
4.425,34166
4.43,34116
4.435,34500
4.44,34475
4.445,34444
4.45,34391
4.455,34322
4.46,34276
4.465,34176
4.47,34090
4.475,33962
4.48,33905
4.485,33791
4.49,33626
4.495,33632
4.5,33525
4.505,33495
4.51,33394
4.515,33344
4.52,33314
4.525,33276
4.53,33241
4.535,33185
4.54,33318
4.545,33207
4.55,33272
4.555,33336
4.56,33362
4.565,33410
4.57,33463
4.575,33530
4.58,33547
4.585,33695
4.59,33607
4.595,33704
4.6,33733
4.605,33774
4.61,33848
4.615,33930
4.62,33885
4.625,33913
4.63,33986
4.635,33994
4.64,34052
4.645,34018
4.65,33981
4.655,33945
4.66,33942
4.665,33899
4.67,33820
4.675,33827
4.68,33773
4.685,33718
4.69,33655
4.695,33671
4.7,33573
4.705,33518
4.71,33397
4.715,33317
4.72,33278
4.725,33233
4.73,33149
4.735,33094
4.74,33078
4.745,32998
4.75,32900
4.755,32871
4.76,32817
4.765,32805
4.77,32717
4.775,32717
4.78,32716
4.785,32663
4.79,32603
4.795,32590
4.8,32596
4.805,32591
4.81,32588
4.815,32538
4.82,32484
4.825,32572
4.83,32522
4.835,32518
4.84,32508
4.845,32453
4.85,32474
4.855,32491
4.86,32515
4.865,32476
4.87,32359
4.875,32460
4.88,32479
4.885,32511
4.89,32489
4.895,32551
4.9,32511
4.905,32507
4.91,32491
4.915,32406
4.92,32485
4.925,32475
4.93,32434
4.935,32473
4.94,32466
4.945,32433
4.95,32445
4.955,32439
4.96,32456
4.965,32431
4.97,32465
4.975,32376
4.98,32434
4.985,32383
4.99,32425
4.995,32460
5.0,32442
5.005,32436
5.01,32442
5.015,32495
5.02,32398
5.025,32469
5.03,32382
5.035,32419
5.04,32441
5.045,32404
5.05,32442
5.055,32460
5.06,32390
5.065,32430
5.07,32419
5.075,32362
5.08,32425
5.085,32403
5.09,32480
5.095,32401
5.1,32494
5.105,32415
5.11,32506
5.115,32458
5.12,32459
5.125,32476
5.13,32487
5.135,32513
5.14,32536
5.145,32476
5.15,32461
5.155,32432
5.16,32540
5.165,32614
5.17,32638
5.175,32673
5.18,32708
5.185,32757
5.19,32837
5.195,32936
5.2,32941
5.205,33120
5.21,33137
5.215,33253
5.22,33341
5.225,33458
5.23,33541
5.235,33643
5.24,33778
5.245,33842
5.25,34056
5.255,34027
5.26,34081
5.265,34132
5.27,34146
5.275,34111
5.28,34509
5.285,34507
5.29,34403
5.295,34404
5.3,34294
5.305,34259
5.31,34188
5.315,34101
5.32,34004
5.325,33866
5.33,33828
5.335,33689
5.34,33632
5.345,33566
5.35,33460
5.355,33365
5.36,33384
5.365,33283
5.37,33264
5.375,33241
5.38,33306
5.385,33275
5.39,33214
5.395,33344
5.4,33423
5.405,33450
5.41,33407
5.415,33478
5.42,33543
5.425,33609
5.43,33632
5.435,33644
5.44,33763
5.445,33807
5.45,33784
5.455,33861
5.46,33922
5.465,33944
5.47,33989
5.475,34018
5.48,34021
5.485,34002
5.49,33955
5.495,34016
5.5,34026
5.505,34022
5.51,33918
5.515,33880
5.52,33890
5.525,33840
5.53,33747
5.535,33703
5.54,33589
5.545,33575
5.55,33459
5.555,33418
5.56,33354
5.565,33276
5.57,33153
5.575,33137
5.58,33119
5.585,33047
5.59,32981
5.595,32959
5.6,32920
5.605,32881
5.61,32779
5.615,32771
5.62,32724
5.625,32673
5.63,32622
5.635,32647
5.64,32596
5.645,32685
5.65,32586
5.655,32566
5.66,32546
5.665,32616
5.67,32505
5.675,32524
5.68,32494
5.685,32511
5.69,32508
5.695,32544
5.7,32449
5.705,32496
5.71,32551
5.715,32472
5.72,32481
5.725,32454
5.73,32389
5.735,32478
5.74,32522
5.745,32462
5.75,32410
5.755,32485
5.76,32477
5.765,32509
5.77,32505
5.775,32461
5.78,32484
5.785,32404
5.79,32508
5.795,32473
5.8,32505
5.805,32503
5.81,32453
5.815,32457
5.82,32430
5.825,32387
5.83,32455
5.835,32465
5.84,32419
5.845,32483
5.85,32460
5.855,32472
5.86,32427
5.865,32391
5.87,32481
5.875,32475
5.88,32448
5.885,32436
5.89,32440
5.895,32445
5.9,32431
5.905,32376
5.91,32476
5.915,32393
5.92,32434
5.925,32435
5.93,32454
5.935,32386
5.94,32487
5.945,32467
5.95,32470
5.955,32488
5.96,32413
5.965,32329
5.97,32453
5.975,32489
5.98,32483
5.985,32423
5.99,32440
5.995,32455
6.0,32381
6.005,32425
6.01,32430
6.015,32516
6.02,32442
6.025,32532
6.03,32488
6.035,32442
6.04,32601
6.045,32509
6.05,32594
6.055,32635
6.06,32594
6.065,32616
6.07,32752
6.075,32779
6.08,32802
6.085,32884
6.09,32994
6.095,33134
6.1,33187
6.105,33323
6.11,33465
6.115,33559
6.12,33672
6.125,33769
6.13,33767
6.135,33961
6.14,34013
6.145,34068
6.15,34092
6.155,34117
6.16,34162
6.165,34536
6.17,34483
6.175,34469
6.18,34434
6.185,34423
6.19,34319
6.195,34245
6.2,34210
6.205,34058
6.21,33995
6.215,33839
6.22,33794
6.225,33696
6.23,33614
6.235,33515
6.24,33427
6.245,33396
6.25,33344
6.255,33363
6.26,33334
6.265,33245
6.27,33308
6.275,33276
6.28,33326
6.285,33317
6.29,33314
6.295,33442
6.3,33465
6.305,33453
6.31,33480
6.315,33581
6.32,33611
6.325,33693
6.33,33780
6.335,33859
6.34,33839
6.345,33943
6.35,33971
6.355,33944
6.36,33924
6.365,34032
6.37,34033
6.375,34099
6.38,34061
6.385,34025
6.39,34038
6.395,33913
6.4,33924
6.405,33867
6.41,33895
6.415,33802
6.42,33616
6.425,33717
6.43,33574
6.435,33571
6.44,33461
6.445,33421
6.45,33370
6.455,33289
6.46,33184
6.465,33207
6.47,33112
6.475,33040
6.48,33012
6.485,32917
6.49,32956
6.495,32852
6.5,32817
6.505,32779
6.51,32699
6.515,32659
6.52,32682
6.525,32662
6.53,32675
6.535,32624
6.54,32551
6.545,32594
6.55,32592
6.555,32586
6.56,32552
6.565,32488
6.57,32566
6.575,32491
6.58,32533
6.585,32450
6.59,32530
6.595,32471
6.6,32535
6.605,32556
6.61,32532
6.615,32446
6.62,32452
6.625,32453
6.63,32506
6.635,32493
6.64,32485
6.645,32489
6.65,32497
6.655,32498
6.66,32534
6.665,32470
6.67,32479
6.675,32403
6.68,32421
6.685,32443
6.69,32424
6.695,32473
6.7,32502
6.705,32448
6.71,32445
6.715,32443
6.72,32465
6.725,32440
6.73,32474
6.735,32468
6.74,32469
6.745,32483
6.75,32456
6.755,32459
6.76,32516
6.765,32450
6.77,32480
6.775,32452
6.78,32433
6.785,32432
6.79,32418
6.795,32447
6.8,32424
6.805,32430
6.81,32489
6.815,32440
6.82,32485
6.825,32454
6.83,32476
6.835,32423
6.84,32452
6.845,32544
6.85,32482
6.855,32492
6.86,32470
6.865,32500
6.87,32437
6.875,32460
6.88,32522
6.885,32556
6.89,32535
6.895,32572
6.9,32601
6.905,32648
6.91,32659
6.915,32706
6.92,32818
6.925,32829
6.93,32935
6.935,33032
6.94,33110
6.945,33223
6.95,33301
6.955,33421
6.96,33495
6.965,33611
6.97,33760
6.975,33853
6.98,33914
6.985,34024
6.99,34087
6.995,34140
7.0,34232
7.005,34184
7.01,34543
7.015,34528
7.02,34473
7.025,34393
7.03,34400
7.035,34313
7.04,34223
7.045,34133
7.05,34039
7.055,33909
7.06,33856
7.065,33687
7.07,33661
7.075,33526
7.08,33492
7.085,33466
7.09,33376
7.095,33324
7.1,33327
7.105,33277
7.11,33261
7.115,33261
7.12,33339
7.125,33327
7.13,33347
7.135,33321
7.14,33426
7.145,33401
7.15,33514
7.155,33507
7.16,33670
7.165,33593
7.17,33750
7.175,33785
7.18,33740
7.185,33840
7.19,33941
7.195,33964
7.2,33893
7.205,33956
7.21,33948
7.215,33962
7.22,33977
7.225,34059
7.23,33984
7.235,33949
7.24,33917
7.245,33918
7.25,33877
7.255,33773
7.26,33807
7.265,33659
7.27,33629
7.275,33593
7.28,33574
7.285,33435
7.29,33392
7.295,33363
7.3,33274
7.305,33229
7.31,33164
7.315,33077
7.32,33034
7.325,32991
7.33,32907
7.335,32918
7.34,32746
7.345,32744
7.35,32793
7.355,32723
7.36,32654
7.365,32664
7.37,32665
7.375,32584
7.38,32613
7.385,32564
7.39,32550
7.395,32538
7.4,32569
7.405,32479
7.41,32498
7.415,32528
7.42,32453
7.425,32435
7.43,32507
7.435,32483
7.44,32474
7.445,32481
7.45,32438
7.455,32575
7.46,32432
7.465,32450
7.47,32413
7.475,32447
7.48,32515
7.485,32459
7.49,32479
7.495,32438
7.5,32520
7.505,32459
7.51,32407
7.515,32478
7.52,32436
7.525,32470
7.53,32452
7.535,32455
7.54,32449
7.545,32410
7.55,32388
7.555,32476
7.56,32435
7.565,32449
7.57,32421
7.575,32364
7.58,32389
7.585,32485
7.59,32405
7.595,32418
7.6,32378
7.605,32411
7.61,32416
7.615,32420
7.62,32425
7.625,32404
7.63,32405
7.635,32424
7.64,32436
7.645,32418
7.65,32486
7.655,32430
7.66,32428
7.665,32399
7.67,32460
7.675,32388
7.68,32368
7.685,32394
7.69,32455
7.695,32397
7.7,32492
7.705,32454
7.71,32412
7.715,32474
7.72,32565
7.725,32494
7.73,32506
7.735,32606
7.74,32675
7.745,32712
7.75,32718
7.755,32799
7.76,32874
7.765,32982
7.77,33102
7.775,33113
7.78,33261
7.785,33305
7.79,33412
7.795,33464
7.8,33577
7.805,33724
7.81,33775
7.815,33930
7.82,33960
7.825,34052
7.83,34102
7.835,34134
7.84,34176
7.845,34541
7.85,34600
7.855,34415
7.86,34424
7.865,34347
7.87,34250
7.875,34212
7.88,34081
7.885,34016
7.89,33967
7.895,33753
7.9,33740
7.905,33658
7.91,33524
7.915,33502
7.92,33430
7.925,33349
7.93,33360
7.935,33236
7.94,33283
7.945,33240
7.95,33210
7.955,33250
7.96,33262
7.965,33330
7.97,33279
7.975,33366
7.98,33400
7.985,33522
7.99,33476
7.995,33606
8.0,33558
8.005,33686
8.01,33719
8.015,33786
8.02,33792
8.025,33787
8.03,33837
8.035,33969
8.04,33952
8.045,33929
8.05,34002
8.055,33944
8.06,33938
8.065,33907
8.07,33972
8.075,33972
8.08,33832
8.085,33836
8.09,33814
8.095,33804
8.1,33586
8.105,33618
8.11,33574
8.115,33433
8.12,33436
8.125,33362
8.13,33316
8.135,33204
8.14,33176
8.145,33078
8.15,33062
8.155,32989
8.16,32916
8.165,32828
8.17,32892
8.175,32828
8.18,32780
8.185,32687
8.19,32665
8.195,32707
8.2,32646
8.205,32564
8.21,32575
8.215,32559
8.22,32529
8.225,32488
8.23,32554
8.235,32518
8.24,32480
8.245,32422
8.25,32450
8.255,32464
8.26,32490
8.265,32440
8.27,32489
8.275,32451
8.28,32415
8.285,32339
8.29,32394
8.295,32380
8.3,32426
8.305,32442
8.31,32478
8.315,32426
8.32,32383
8.325,32507
8.33,32432
8.335,32410
8.34,32409
8.345,32368
8.35,32438
8.355,32428
8.36,32470
8.365,32451
8.37,32442
8.375,32454
8.38,32398
8.385,32391
8.39,32404
8.395,32360
8.4,32398
8.405,32390
8.41,32425
8.415,32400
8.42,32330
8.425,32399
8.43,32448
8.435,32331
8.44,32369
8.445,32397
8.45,32348
8.455,32377
8.46,32400
8.465,32352
8.47,32413
8.475,32421
8.48,32367
8.485,32421
8.49,32469
8.495,32436
8.5,32474
8.505,32501
8.51,32494
8.515,32568
8.52,32582
8.525,32574
8.53,32678
8.535,32746
8.54,32808
8.545,32828
8.55,32947
8.555,33066
8.56,33119
8.565,33252
8.57,33359
8.575,33417
8.58,33549
8.585,33621
8.59,33772
8.595,33827
8.6,33898
8.605,33995
8.61,34060
8.615,34128
8.62,34167
8.625,34096
8.63,34441
8.635,34459
8.64,34430
8.645,34367
8.65,34396
8.655,34268
8.66,34141
8.665,34080
8.67,34007
8.675,33875
8.68,33703
8.685,33676
8.69,33586
8.695,33580
8.7,33364
8.705,33422
8.71,33307
8.715,33304
8.72,33229
8.725,33226
8.73,33251
8.735,33215
8.74,33261
8.745,33240
8.75,33256
8.755,33297
8.76,33328
8.765,33387
8.77,33489
8.775,33449
8.78,33484
8.785,33596
8.79,33709
8.795,33737
8.8,33794
8.805,33835
8.81,33803
8.815,33867
8.82,33795
8.825,33890
8.83,33948
8.835,33877
8.84,33858
8.845,33877
8.85,33916
8.855,33928
8.86,33949
8.865,33871
8.87,33723
8.875,33646
8.88,33682
8.885,33658
8.89,33502
8.895,33479
8.9,33417
8.905,33369
8.91,33295
8.915,33255
8.92,33210
8.925,33111
8.93,33075
8.935,33061
8.94,32896
8.945,32842
8.95,32848
8.955,32850
8.96,32747
8.965,32740
8.97,32654
8.975,32665
8.98,32580
8.985,32600
8.99,32566
8.995,32545
9.0,32561
9.005,32534
9.01,32459
9.015,32500
9.02,32395
9.025,32483
9.03,32538
9.035,32450
9.04,32443
9.045,32422
9.05,32445
9.055,32394
9.06,32431
9.065,32394
9.07,32385
9.075,32402
9.08,32393
9.085,32331
9.09,32466
9.095,32394
9.1,32326
9.105,32424
9.11,32383
9.115,32390
9.12,32406
9.125,32347
9.13,32272
9.135,32373
9.14,32384
9.145,32410
9.15,32345
9.155,32361
9.16,32384
9.165,32357
9.17,32358
9.175,32375
9.18,32328
9.185,32420
9.19,32328
9.195,32362
9.2,32347
9.205,32332
9.21,32376
9.215,32392
9.22,32407
9.225,32374
9.23,32336
9.235,32382
9.24,32298
9.245,32350
9.25,32366
9.255,32367
9.26,32304
9.265,32290
9.27,32403
9.275,32323
9.28,32281
9.285,32295
9.29,32339
9.295,32380
9.3,32336
9.305,32378
9.31,32342
9.315,32350
9.32,32368
9.325,32318
9.33,32341
9.335,32316
9.34,32307
9.345,32353
9.35,32299
9.355,32332
9.36,32301
9.365,32328
9.37,32314
9.375,32376
9.38,32344
9.385,32349
9.39,32414
9.395,32260
9.4,32337
9.405,32295
9.41,32382
9.415,32424
9.42,32462
9.425,32485
9.43,32488
9.435,32633
9.44,32638
9.445,32683
9.45,32726
9.455,32862
9.46,32917
9.465,33013
9.47,33137
9.475,33241
9.48,33311
9.485,33493
9.49,33517
9.495,33615
9.5,33762
9.505,33843
9.51,33918
9.515,33965
9.52,34031
9.525,34044
9.53,34023
9.535,34431
9.54,34348
9.545,34340
9.55,34324
9.555,34234
9.56,34257
9.565,34023
9.57,33955
9.575,33890
9.58,33839
9.585,33685
9.59,33549
9.595,33554
9.6,33399
9.605,33353
9.61,33330
9.615,33222
9.62,33189
9.625,33193
9.63,33150
9.635,33160
9.64,33118
9.645,33160
9.65,33146
9.655,33158
9.66,33312
9.665,33307
9.67,33369
9.675,33350
9.68,33436
9.685,33482
9.69,33491
9.695,33613
9.7,33617
9.705,33683
9.71,33678
9.715,33807
9.72,33831
9.725,33845
9.73,33818
9.735,33845
9.74,33914
9.745,33858
9.75,33868
9.755,33847
9.76,33778
9.765,33842
9.77,33679
9.775,33715
9.78,33655
9.785,33547
9.79,33559
9.795,33506
9.8,33426
9.805,33329
9.81,33309
9.815,33267
9.82,33170
9.825,33159
9.83,33065
9.835,33001
9.84,32965
9.845,32835
9.85,32787
9.855,32775
9.86,32729
9.865,32722
9.87,32670
9.875,32599
9.88,32568
9.885,32521
9.89,32492
9.895,32465
9.9,32493
9.905,32424
9.91,32412
9.915,32416
9.92,32380
9.925,32379
9.93,32299
9.935,32382
9.94,32351
9.945,32362
9.95,32363
9.955,32278
9.96,32428
9.965,32343
9.97,32341
9.975,32267
9.98,32352
9.985,32342
